video_title,channel,link
Sonique - It Feels So Good (Official Video),Altra Moda Music,https://www.youtube.com/watch?v=zns8Y8phigk&list=LL4qfihPte8I5oE-bua9Px3w&index=39&t=0s
"It Feels So Good (12"" Breakbeat Mix)",Sonique - Topic,https://www.youtube.com/watch?v=QS4dgq7MTN4&list=LL4qfihPte8I5oE-bua9Px3w&index=40&t=0s
Da Lata - Travels With My Aunt [STL001],VNRD,https://www.youtube.com/watch?v=_z6X9w7ctzw&list=LL4qfihPte8I5oE-bua9Px3w&index=41&t=0s
Paolo Macrì - Acid Tune [STL002],VNRD,https://www.youtube.com/watch?v=6rI4au8FtUU&list=LL4qfihPte8I5oE-bua9Px3w&index=42&t=0s
Tom Ries - Karchert Riddim [PARANG005],VNRD,https://www.youtube.com/watch?v=KbGAfSIcMX8&list=LL4qfihPte8I5oE-bua9Px3w&index=43&t=0s
Exotica - Fluteride (5th Floor Mix) [CD/OP 002/95],VNRD,https://www.youtube.com/watch?v=Lo3e2IJtT2k&list=LL4qfihPte8I5oE-bua9Px3w&index=44&t=0s
Trudge - страсть [10PILLS010],Kånde •,https://www.youtube.com/watch?v=LJYid2F8iDk&list=LL4qfihPte8I5oE-bua9Px3w&index=45&t=0s
Bronski Beat - Smalltown Boy (Official Music Video),London Recordings,https://www.youtube.com/watch?v=88sARuFu-tc&list=LL4qfihPte8I5oE-bua9Px3w&index=46&t=0s
"Neja - ""Restless"" Official Videoclip",New Music,https://www.youtube.com/watch?v=OWBApI2yMtA&list=LL4qfihPte8I5oE-bua9Px3w&index=47&t=0s
Marie Davidson - 'Work It',Ninja Tune,https://www.youtube.com/watch?v=23Df3jHYTrs&list=LL4qfihPte8I5oE-bua9Px3w&index=48&t=0s
Peter Richard - Walking In The Neon (Club Mix 1985),DiscoMusicDotHu,https://www.youtube.com/watch?v=odjqqtCWywE&list=LL4qfihPte8I5oE-bua9Px3w&index=49&t=0s
DJ Bogdan - Love Inna Basement (Midnite XTC),Thomas,https://www.youtube.com/watch?v=gaBWPZNEZ8Y&list=LL4qfihPte8I5oE-bua9Px3w&index=50&t=0s
"Lil ""Mo"" Yin Yang - Reach (Little ""More"" Mix)",RDFLD,https://www.youtube.com/watch?v=niyCTy2XKTI&list=LL4qfihPte8I5oE-bua9Px3w&index=51&t=0s
Mike Parker - Druma,juarana,https://www.youtube.com/watch?v=_nxWnRbTKuY&list=LL4qfihPte8I5oE-bua9Px3w&index=52&t=0s
Voiski - Drama In The Futurists' Cabaret [DKMNTL-UFO3],HATE,https://www.youtube.com/watch?v=Oyq266_1rlw&list=LL4qfihPte8I5oE-bua9Px3w&index=53&t=0s
Maracatu Atomico - Jorge Mautner - by korvoo,victorio lorenzon,https://www.youtube.com/watch?v=0ocevnfp0vU&list=LL4qfihPte8I5oE-bua9Px3w&index=54&t=0s
